date,vix,BI,close,pos,neg,seg
2020-03-05,19.37,0.06453852113757116,4196.88,32.0,28.0,".%,中鋼,億元"
2020-03-06,22.93,-0.3746934494414107,4234.21,46.0,61.0,"u3000,中國,.%"
2020-03-07,,-0.7731898882334817,,34.0,40.0,"理論,違反板規,刪文"
2020-03-08,,-0.4946962418361071,,33.0,28.0,"美國,疫情,華為"
2020-03-09,28.36,-0.6846364908920367,4126.32,76.0,99.0,".%,疫情,美國"
2020-03-10,26.75,-0.9019019944220554,4051.47,68.0,123.0,
2020-03-11,29.49,-0.5596157879354228,4024.99,64.0,87.0,"疫情,經濟,.%"
2020-03-12,33.27,-0.8080771472339223,3765.75,107.0,143.0,"美國,疫情,經濟"
2020-03-13,39.76,-0.8148441155374652,3496.08,107.0,165.0,"市場,反彈,疫情"
2020-03-14,,-0.723918839226699,,64.0,78.0,"美國,u3000,疫情"
2020-03-15,,-0.6375773294051346,,36.0,66.0,"違反板規,刪文,進場"
2020-03-16,44.65,-0.9958027948018888,3374.3,69.0,142.0,"機率,出場,空單"
2020-03-17,48.54,-0.7835312420282143,3200.24,87.0,146.0,"u3000,市場,疫情"
2020-03-18,47.85,-1.193200707344025,3111.53,129.0,227.0,"台灣,市場,u3000"
2020-03-19,51.14,-1.1797081823263047,2853.24,194.0,422.0,"u3000,進場,台股"
2020-03-20,51.66,-0.5093647031263159,3023.99,131.0,227.0,"美國,進場,反彈"
2020-03-21,,-0.8239867815187565,,109.0,191.0,"u3000,美國,市場"
2020-03-22,,-0.6994563497532099,,89.0,141.0,
2020-03-23,53.84,-0.5332984796180493,2912.83,101.0,127.0,"影響,美國,疫情"
2020-03-24,44.78,-0.4554755286828258,3031.71,72.0,122.0,"美國,市場,疫情"
2020-03-25,42.43,-0.20526312603636127,3146.33,60.0,113.0,"美國,疫情,經濟"
2020-03-26,44.0,-0.29376111852816306,3203.95,81.0,110.0,"u3000,疫情,經濟"
2020-03-27,45.12,-0.5826053061601215,3247.41,95.0,143.0,
2020-03-28,,-0.5316597106688327,,43.0,106.0,"u3000,美國,違反板規"
2020-03-29,,-0.5930637220029626,,57.0,60.0,"美國,疫情,市場"
2020-03-30,44.59,-0.12323264042394808,3274.78,59.0,67.0,"中鋼,年月日,.%"
2020-03-31,44.65,-0.5221893824163059,3311.8,34.0,57.0,"年月日,.%,市場"
2020-04-01,42.41,-0.6443570163905132,3347.26,59.0,61.0,"疫情,億元,美國"
2020-04-02,,-0.4495250979021948,,36.0,56.0,"美國,因為,投資"
2020-04-03,,-1.001448540214462,,23.0,42.0,"美國,中國,經濟"
2020-04-04,,-0.916290731874155,,23.0,45.0,"美國,疫情,.%"
2020-04-05,,-1.0608719606852628,,22.0,46.0,"年月日,中鋼,中國"
2020-04-06,35.81,0.11778303565638346,3428.93,41.0,59.0,"美國,中國,疫情"
2020-04-07,33.25,-0.4748936145399274,3475.75,55.0,73.0,"台灣,疫情,因為"
2020-04-08,33.73,-0.2537805207760996,3513.77,49.0,53.0,"市場,美國,疫情"
2020-04-09,32.91,0.2047944126460132,3556.33,37.0,59.0,"美國,.%,億元"
2020-04-10,30.9,-0.21256144198367288,3563.46,40.0,42.0,"億元,u3000,市場"
2020-04-11,,-0.02597548640326068,,29.0,44.0,"中國,美國,億元"
2020-04-12,,-0.3746934494414107,,29.0,22.0,"市場,美國,經濟"
2020-04-13,32.54,-0.052643733485422034,3607.55,25.0,49.0,"中國,美國,疫情"
2020-04-14,29.38,-0.25131442828090605,3670.14,38.0,41.0,"中國,疫情,.%"
2020-04-15,26.84,-0.4473122180436648,3707.09,39.0,58.0,
2020-04-16,28.22,-0.4855078157817008,3741.98,38.0,63.0,"市場,.%,疫情"
2020-04-17,27.04,-0.4936578201436253,3735.86,52.0,66.0,"市場,疫情,經濟"
2020-04-18,,-0.14842000511827333,,20.0,31.0,"因為,美國,市場"
2020-04-19,,-0.27625337662815824,,18.0,31.0,"違反板規,刪文,水桶"
2020-04-20,28.65,-0.5908683314395271,3821.43,53.0,45.0,"美國,u3000,中國"
2020-04-21,33.96,-0.7492366472109889,3666.73,65.0,92.0,"原油,.%,期貨"
2020-04-22,33.46,-0.3813675565291038,3728.95,59.0,75.0,"原油,美國,期貨"
2020-04-23,31.45,-0.0953101798043249,3774.44,38.0,43.0,"原油,u3000,美國"
2020-04-24,30.97,-0.2803019651541584,3781.71,36.0,39.0,"中國,停損,實驗"
2020-04-25,,-0.5978370007556204,,22.0,38.0,"美國,因為,經濟"
2020-04-26,,0.19782574332991987,,29.0,38.0,"u3000,違反板規,水桶"
2020-04-27,28.77,-0.8157495026522777,3860.44,32.0,41.0,"u3000,美國,因為"
2020-04-28,27.9,-0.35937400090789745,3860.91,39.0,46.0,"u3000,.%,台灣"
2020-04-29,27.32,-0.06669137449867228,3906.13,57.0,61.0,"美國,疫情,經濟"
2020-04-30,29.06,-0.17589066646366416,3961.03,48.0,64.0,"u3000,.%,市場"
2020-05-01,,-0.3053816495511819,,30.0,34.0,"u3000,美國,經濟"
2020-05-02,,0.10008345855698264,,30.0,43.0,"股價,疫情,市場"
2020-05-03,,0.32542240043462795,,27.0,31.0,"投資,u3000,.%"
2020-05-04,34.29,-0.262364264467491,3987.4,32.0,34.0,"u3000,市場,億元"
2020-05-05,32.53,-0.08167803101426724,4091.49,47.0,49.0,".%,台灣,投資"
2020-05-06,31.74,0.4054651081081644,4162.47,42.0,44.0,".%,電池,億元"
2020-05-07,29.62,0.1910552367627092,4264.46,37.0,45.0,"中國,u3000,美國"
